url,url_having_IP_Address,url_having_at_symbol,url_length,url_depth,url_redirection,url_http_domain,url_sortining_service,url_prefix_suffix,url_standard_port,url_google_index,dns_record,domain_age,domain_registration_length,statistical_report,page_mouse_over,page_right_click_disable,page_pop_up,page_iframe,page_website_forwarding,link_pointing_to_the_page,submit_email,redirection_count,server_from_handler,page_favicon,ssl_state,result
http://bit.do/fSs6N,0,0,19,1,1,0,1,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,0,,0,1
http://m18.rgqklhe.com,0,0,22,0,1,0,0,0,1,0,0,0,1,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,0
"https://contatoparareparo.cf/pc/fisica.php?brazil=23,40,08,PM,297,10,10,000000,25,11,2021,Monday.seguro",0,0,103,2,1,1,0,0,1,1,0,1,1,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1
https://bcabankonline.com/,0,0,26,0,1,1,0,0,1,1,0,1,1,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1
https://www.wonderful.gr/usamail/todwll/bob@example.com,0,1,55,3,1,1,0,0,1,1,0,1,1,0.0,0,1,1.0,0.0,0.0,1.0,1.0,,-1,0.0,0,1
http://soychile.cl,0,0,18,0,1,0,0,0,1,0,0,0,1,0.0,0,1,1.0,0.0,1.0,1.0,1.0,-1.0,0,1.0,0,0
"https://www.goarticles.info//wp-content/themes/sQlDmp/?key=DEgxW,email={email}?key=9TmhZ,email={email}&post=00574_1&cc_key",0,0,122,3,1,1,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1
http://m28.yzjkzii.cc,0,0,21,0,1,0,0,0,1,0,0,0,1,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,0
http://static.dynaton.com.br,0,0,28,0,1,0,0,0,1,0,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0,0
https://spk-id0879554.top/256663/sicherheitscenter/deu/873604350164/onlinebanking/oKdaVIsfx/?onlinebanking?operator=protect&s=true&userID=5455,0,0,142,6,1,1,0,1,1,1,0,1,1,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1
http://wish.akadns.net,0,0,22,0,1,0,0,0,1,0,0,0,1,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,0
https://t.co/H7ACl0jHzK,0,0,23,1,1,1,1,0,1,1,0,1,1,0.0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,-1,,0,1
https://amazm.psfsh.cn/,0,0,23,0,1,1,0,0,1,1,0,0,1,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1
https://paypal-caseid9163.com/,0,0,30,0,1,1,0,1,1,1,1,1,1,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1
http://cannellandcoflooring.co.uk/administrator/templates/system/images/img/onel/,0,0,81,6,1,0,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0,1
https://forms.office.com/Pages/ResponsePage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAAMAACa_CgtUQ00xQlhSR1hIWElUN0RWWE0yMTFJMDAwNS4u,0,0,132,2,1,1,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,-1.0,1.0,1.0,0,1.0,0,1
https://pancakisvvap-franchise.com,0,0,34,0,1,1,0,1,1,1,0,1,1,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1
https://sites.google.com/view/bt-b/home?authuser=6,0,0,50,3,1,1,0,0,1,1,0,0,1,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1.0,-1,,0,1
http://nmlsconsumeraccess.org,0,0,29,0,1,0,0,0,1,0,0,0,1,0.0,0,1,1.0,0.0,0.0,1.0,1.0,-1.0,0,0.0,0,0
https://reareo.duramaxservice.com,0,0,33,0,1,1,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,-1.0,1.0,1.0,0,1.0,0,1
http://ns3.wixdns.net,0,0,21,0,1,0,0,0,1,0,0,0,1,0.0,0,1,1.0,0.0,0.0,-1.0,1.0,1.0,0,,0,0
https://omshad-links.com/wp-admin/maint/,0,0,40,2,1,1,0,1,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0,1
http://752.searchexpert.online,0,0,30,0,1,0,0,0,1,0,0,1,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0
https://linktr.ee/btcoesecurebt365e,0,0,35,1,1,1,0,0,1,1,0,1,1,0.0,0,1,1.0,0.0,0.0,-1.0,1.0,1.0,0,0.0,0,1
https://sites.google.com/view/fghjgjfhjmmfngc/home/,0,0,51,3,1,1,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
http://www.slickparties.com/tests/Feature/security/mail/webmail.php,0,0,67,5,1,0,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,-1.0,1.0,1.0,-1,1.0,0,1
https://lashbosses.com/wellsfargo/wellsfargo/facebook/26686290fc24e3fafde56a610f77f780/index.php?cmd=newupld,0,0,108,5,1,1,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0,1
https://websupport-updatelog-spk.com/GUZ02KVO6R,0,0,47,1,1,1,0,1,1,1,0,1,1,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1
http://a-tr-teasc-euno-04.northeurope.cloudapp.azure.com,0,0,56,0,1,0,0,1,1,0,0,0,1,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,0
http://adn-cronus-fk-external-326598343.eu-central-1.elb.amazonaws.com,0,0,70,0,1,0,0,1,1,0,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0,0
http://taijishentie.com/js/index.htm?amp&amp;amp&amp;amp&amp;http:/us.battle.net/login/en?ref=http:/bowaovvus.battle.net/d3/en/index,0,0,132,2,1,0,0,0,1,1,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0,1
http://collect.dcrm.bnpparibas.fr,0,0,33,0,1,0,0,0,1,0,1,1,1,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,0
https://clouddoc-authorize.firebaseapp.com/...x...,0,0,50,1,1,1,0,1,1,1,1,1,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1
http://www.cinefilos.it,0,0,23,0,1,0,0,0,1,0,0,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0,0
